注文番号,時間(Open Time),取引種別,数量,通貨ペア,価格,決済逆指値(S/L),決済指値(T/P),時間(Close Time),価格,手数料,税,スワップ,損益,MagicNo,コメント
99081652,2024.06.20 00:01:58,balance,0.01,,0,0,0,2024.06.20 00:01:58,0,0,0,0,756,,RO 98914566 B 0.10 USDJPY
99081653,2024.06.20 00:01:58,balance,0.01,,0,0,0,2024.06.20 00:01:58,0,0,0,0,604,,RO 98917652 B 0.08 USDJPY
99139694,2024.06.21 00:01:59,balance,0.01,,0,0,0,2024.06.21 00:01:59,0,0,0,0,252,,RO 98914566 B 0.10 USDJPY
99139695,2024.06.21 00:01:59,balance,0.01,,0,0,0,2024.06.21 00:01:59,0,0,0,0,201,,RO 98917652 B 0.08 USDJPY
99224635,2024.06.24 01:00:00,buy,0.4,USDJPY,159.717,159.448,0,2024.06.24 13:05:42,159.438,0,0,0,-11160,20240512,STR01_USDJPY_H1[sl]
99226601,2024.06.24 03:00:00,buy,0.28,USDJPY,159.916,159.524,0,2024.06.24 13:05:40,159.523,0,0,0,-11004,20240512,STR01_USDJPY_H1[sl]
99340567,2024.06.26 05:00:00,buy,0.29,USDJPY,159.786,159.602,0,2024.06.26 13:54:32,160.295,0,0,0,14761,20240512,to #99349978
99347082,2024.06.26 12:00:01,buy,0.25,USDJPY,159.964,160.125,0,2024.06.26 17:06:54,160.499,0,0,0,13375,20240512,to #99357381
99348365,2024.06.26 13:00:00,buy,0.5,USDJPY,159.996,159.782,0,2024.06.26 13:42:20,160.129,0,0,0,6650,20240512,STR01_USDJPY_H1
99349978,2024.06.26 05:00:00,buy,0.29,USDJPY,159.786,160.368,0,2024.06.27 07:05:53,160.366,0,0,0,16820,20240512,from #99340567[sl]
99350325,2024.06.26 14:00:01,buy,0.11,USDJPY,160.311,159.813,0,2024.06.26 18:37:30,160.809,0,0,0,5478,20240512,to #99360194
99357075,2024.06.26 17:00:01,buy,0.2,USDJPY,160.52,159.983,0,2024.06.27 13:00:00,160.486,0,0,0,-680,20240512,STR01_USDJPY_H1
99357381,2024.06.26 12:00:01,buy,0.25,USDJPY,159.964,160.368,0,2024.06.27 07:05:53,160.366,0,0,0,10050,20240512,from #99347082[sl]
99360194,2024.06.26 14:00:01,buy,0.11,USDJPY,160.311,160.368,0,2024.06.27 07:05:53,160.366,0,0,0,605,20240512,from #99350325[sl]
